Địa chỉ phòng;Khoảng cách tới UEH cơ sở B (km);Diện tích phòng (m²);Có máy lạnh / WC riêng / bếp;Giờ giấc tự do?;Số người ở tối đa;Có chỗ để xe?;Gần tiện ích (siêu thị, bus);Link truy cập tham khảo;Column1;Column2;Column3;Column4;Column5;Column6
231/ Đào Duy Từ, P.14, Quận 11;0,6;35;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Gửi xe ngoài;Gần chợ Nhật Tảo, Satra Food;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=3;;;;;;
214/14 Nhật Tảo, P.10, Quận 10;3,3;26;Có máy lạnh, WC riêng, bếp chung;Không;2;Có (phí 100k);Gần Circle K, trạm bus 59;https://phongtro123.com/tphcm/quan-10?page=3;;;;;;
222/35 Nguyễn Tri Phương, P.10, Quận 5;0,2;24;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Không;Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=10;;;;;;
367/ Hòa Hảo, P.9, Quận 5;0,7;20;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://www.chotot.com/thue-phong-tro-quan-10?page=1;;;;;;
463/ Nguyễn Tri Phương, P.12, Quận 11;0,3;23;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://phongtro123.com/tphcm/quan-10?page=6;;;;;;
319/ Thành Thái, P.14, Quận 10;2;35;Có máy lạnh, WC riêng, bếp chung;Không;3;Có;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=4;;;;;;
118/ Cách Mạng Tháng 8, P.9, Quận 5;1,1;31;Không máy lạnh, WC riêng, không bếp;Có;2;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=10;;;;;;
201/32 Ngô Quyền, P.14, Quận 11;1,8;27;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Gửi xe ngoài;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=1;;;;;;
388/ Vĩnh Viễn, P.14, Quận 5;0,3;31;Không máy lạnh, WC riêng, không bếp;Có;4;Không;Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=5;;;;;;
198/13 Nhật Tảo, P.4, Quận 10;1,2;27;Có máy lạnh, WC riêng, bếp chung;Không;3;Có;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=5;;;;;;
98/11 Tô Hiến Thành, P.14, Quận 5;2,8;21;Phòng trống, WC riêng, có chỗ nấu ăn;Có;3;Gửi xe ngoài;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=2;;;;;;
88/19 Ngô Quyền, P.8, Quận 10;3,1;33;Có máy lạnh, WC riêng, bếp chung;Có;3;Có;Gần chợ Nhật Tảo, Satra Food;https://phongtro123.com/tphcm/quan-10?page=3;;;;;;
47/23 Nguyễn Tiểu La, P.15, Quận 10;3,3;31;Không máy lạnh, WC riêng, không bếp;Có;4;Gửi xe ngoài;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=2;;;;;;
108/4 Lý Thường Kiệt, P.10, Quận 10;2,1;19;Full nội thất, WC riêng, kệ bếp;Không;2;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=7;;;;;;
432/29 Lý Thường Kiệt, P.4, Quận 11;1,6;29;Có máy lạnh, WC chung, bếp riêng;Không;3;Gửi xe ngoài;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=3;;;;;;
100/ Nguyễn Tri Phương, P.10, Quận 10;0,5;17;Máy lạnh, WC riêng, bếp riêng (Studio);Có;4;Có;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=3;;;;;;
285/11 Bà Hạt, P.1, Quận 11;3,2;33;Phòng trống, WC riêng, có chỗ nấu ăn;Không;4;Không;Khu dân cư an ninh, gần Big C;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=2;;;;;;
150/ Đào Duy Từ, P.1, Quận 10;1,1;35;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Không;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=4;;;;;;
73/8 Ba Tháng Hai, P.8, Quận 10;1,8;21;Có máy lạnh, WC chung, bếp riêng;Có;4;Có (phí 100k);Gần Circle K, trạm bus 59;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
98/17 Đào Duy Từ, P.15, Quận 11;0,7;31;Có máy lạnh, WC chung, bếp riêng;Không;4;Không;Gần trạm bus 07, Winmart;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=1;;;;;;
146/3 Ngô Quyền, P.8, Quận 11;2,6;19;Có máy lạnh, WC chung, bếp riêng;Có;2;Có (phí 100k);Gần công viên Lê Thị Riêng, nhiều quán ăn;https://www.chotot.com/thue-phong-tro-quan-10?page=5;;;;;;
103/37 Cách Mạng Tháng 8, P.8, Quận 10;2,2;22;Không máy lạnh, WC riêng, không bếp;Có;2;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=4;;;;;;
325/31 Vĩnh Viễn, P.8, Quận 5;0,7;15;Có máy lạnh, WC chung, bếp riêng;Có;2;Không;Gần chợ Nhật Tảo, Satra Food;https://www.chotot.com/thue-phong-tro-quan-10?page=10;;;;;;
261/ Bà Hạt, P.15, Quận 5;1,3;27;Full nội thất, WC riêng, kệ bếp;Không;4;Có;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=6;;;;;;
415/ Nguyễn Tiểu La, P.9, Quận 10;1,4;35;Phòng trống, WC riêng, có chỗ nấu ăn;Có;4;Không;Gần trạm bus 07, Winmart;https://www.chotot.com/thue-phong-tro-quan-10?page=3;;;;;;
235/41 Lý Thường Kiệt, P.9, Quận 10;2,9;23;Có máy lạnh, WC riêng, bếp chung;Không;4;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=2;;;;;;
57/21 Nguyễn Tri Phương, P.2, Quận 11;0,2;15;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=2;;;;;;
497/10 Thành Thái, P.12, Quận 5;1,5;17;Có máy lạnh, WC chung, bếp riêng;Có;3;Gửi xe ngoài;Khu dân cư an ninh, gần Big C;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=1;;;;;;
223/30 Nguyễn Tiểu La, P.9, Quận 10;2;30;Máy lạnh, WC riêng, bếp riêng (Studio);Không;2;Không;Gần chợ Nhật Tảo, Satra Food;https://phongtro123.com/tphcm/quan-10?page=9;;;;;;
119/40 Trần Nhân Tôn, P.4, Quận 11;2,7;27;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Có;Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=7;;;;;;
151/ Ngô Gia Tự, P.4, Quận 11;2,5;34;Có máy lạnh, WC riêng, bếp chung;Không;2;Có;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://www.chotot.com/thue-phong-tro-quan-10?page=2;;;;;;
163/14 Thành Thái, P.5, Quận 11;1,9;17;Phòng trống, WC riêng, có chỗ nấu ăn;Có;3;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=8;;;;;;
132/22 Lý Thái Tổ, P.12, Quận 11;1,2;16;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Có;Gần trạm bus 07, Winmart;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=6;;;;;;
387/47 Đào Duy Từ, P.1, Quận 5;0,6;32;Full nội thất, WC riêng, kệ bếp;Có;3;Có;Gần chợ Nhật Tảo, Satra Food;https://www.chotot.com/thue-phong-tro-quan-10?page=5;;;;;;
135/ Ba Tháng Hai, P.10, Quận 11;3,1;24;Không máy lạnh, WC riêng, không bếp;Không;3;Không;Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=1;;;;;;
200/6 Đào Duy Từ, P.8, Quận 11;0,3;34;Có máy lạnh, WC riêng, bếp chung;Không;3;Gửi xe ngoài;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://phongtro123.com/tphcm/quan-10?page=5;;;;;;
145/13 Nguyễn Tiểu La, P.4, Quận 5;2,5;33;Có máy lạnh, WC riêng, bếp chung;Có;4;Gửi xe ngoài;Khu dân cư an ninh, gần Big C;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=8;;;;;;
12/26 Ngô Quyền, P.1, Quận 11;1,7;15;Phòng trống, WC riêng, có chỗ nấu ăn;Có;4;Không;Gần chợ Nhật Tảo, Satra Food;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=8;;;;;;
498/ Nguyễn Tiểu La, P.10, Quận 5;1,3;19;Có máy lạnh, WC chung, bếp riêng;Có;3;Có (phí 100k);Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=6;;;;;;
25/2 Lý Thái Tổ, P.2, Quận 5;2;18;Full nội thất, WC riêng, kệ bếp;Có;2;Có;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://phongtro123.com/tphcm/quan-10?page=2;;;;;;
151/38 Ngô Quyền, P.1, Quận 5;2,7;20;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Có;Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=6;;;;;;
361/18 Lý Thái Tổ, P.15, Quận 5;2,7;35;Có máy lạnh, WC riêng, bếp chung;Không;2;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=7;;;;;;
47/45 Ba Tháng Hai, P.2, Quận 5;1;25;Không máy lạnh, WC riêng, không bếp;Có;4;Có (phí 100k);Gần Circle K, trạm bus 59;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=8;;;;;;
342/40 Cách Mạng Tháng 8, P.15, Quận 5;3,3;27;Full nội thất, WC riêng, kệ bếp;Không;3;Có;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
215/32 Nguyễn Tri Phương, P.9, Quận 10;0,8;31;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Có;Gần Circle K, trạm bus 59;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=2;;;;;;
310/16 Cách Mạng Tháng 8, P.14, Quận 11;1,1;28;Full nội thất, WC riêng, kệ bếp;Không;2;Gửi xe ngoài;Gần Circle K, trạm bus 59;https://www.chotot.com/thue-phong-tro-quan-10?page=8;;;;;;
87/ Tô Hiến Thành, P.10, Quận 11;3,3;26;Full nội thất, WC riêng, kệ bếp;Có;3;Có (phí 100k);Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=5;;;;;;
368/ Vĩnh Viễn, P.5, Quận 5;0,9;34;Không máy lạnh, WC riêng, không bếp;Có;3;Có (phí 100k);Gần trạm bus 07, Winmart;https://www.chotot.com/thue-phong-tro-quan-10?page=2;;;;;;
300/33 Thành Thái, P.2, Quận 10;1,8;30;Full nội thất, WC riêng, kệ bếp;Không;4;Có;Gần Circle K, trạm bus 59;https://phongtro123.com/tphcm/quan-10?page=9;;;;;;
166/50 Cách Mạng Tháng 8, P.10, Quận 5;2,6;34;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Không;Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=2;;;;;;
434/ Nguyễn Tri Phương, P.12, Quận 5;0,2;16;Có máy lạnh, WC riêng, bếp chung;Không;4;Gửi xe ngoài;Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=5;;;;;;
230/ Thành Thái, P.14, Quận 11;1,9;24;Full nội thất, WC riêng, kệ bếp;Có;2;Không;Khu dân cư an ninh, gần Big C;https://phongtro123.com/tphcm/quan-10?page=10;;;;;;
160/ Hòa Hảo, P.5, Quận 5;0,9;20;Có máy lạnh, WC chung, bếp riêng;Không;4;Có (phí 100k);Gần chợ Nhật Tảo, Satra Food;https://phongtro123.com/tphcm/quan-10?page=10;;;;;;
320/ Tô Hiến Thành, P.8, Quận 5;2,4;33;Full nội thất, WC riêng, kệ bếp;Có;2;Không;Gần Circle K, trạm bus 59;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=9;;;;;;
220/ Cách Mạng Tháng 8, P.10, Quận 11;3,3;33;Không máy lạnh, WC riêng, không bếp;Không;3;Không;Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=5;;;;;;
241/26 Hòa Hảo, P.10, Quận 5;0,5;33;Có máy lạnh, WC riêng, bếp chung;Không;2;Gửi xe ngoài;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://phongtro123.com/tphcm/quan-10?page=8;;;;;;
418/ Lê Hồng Phong, P.9, Quận 11;3;20;Không máy lạnh, WC riêng, không bếp;Không;2;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://phongtro123.com/tphcm/quan-10?page=5;;;;;;
136/ Ba Tháng Hai, P.15, Quận 5;1,7;17;Có máy lạnh, WC chung, bếp riêng;Không;4;Có (phí 100k);Gần Circle K, trạm bus 59;https://www.chotot.com/thue-phong-tro-quan-10?page=2;;;;;;
99/10 Nhật Tảo, P.4, Quận 11;2,4;29;Không máy lạnh, WC riêng, không bếp;Có;2;Không;Gần Circle K, trạm bus 59;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
489/ Bà Hạt, P.15, Quận 10;2,4;17;Không máy lạnh, WC riêng, không bếp;Có;2;Có;Gần chợ Nhật Tảo, Satra Food;https://phongtro123.com/tphcm/quan-10?page=10;;;;;;
35/ Thành Thái, P.10, Quận 5;2,2;24;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Có;Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=4;;;;;;
166/ Lý Thường Kiệt, P.5, Quận 10;3,3;29;Full nội thất, WC riêng, kệ bếp;Không;3;Có;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=3;;;;;;
442/30 Sư Vạn Hạnh, P.4, Quận 5;1,7;18;Phòng trống, WC riêng, có chỗ nấu ăn;Có;3;Có (phí 100k);Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=7;;;;;;
427/47 Lý Thái Tổ, P.8, Quận 11;3,3;22;Phòng trống, WC riêng, có chỗ nấu ăn;Không;3;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=3;;;;;;
253/45 Nhật Tảo, P.5, Quận 10;3;20;Máy lạnh, WC riêng, bếp riêng (Studio);Có;4;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=9;;;;;;
319/37 Đào Duy Từ, P.14, Quận 11;0,9;28;Có máy lạnh, WC chung, bếp riêng;Không;3;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=7;;;;;;
444/4 Lý Thái Tổ, P.8, Quận 10;3,1;17;Có máy lạnh, WC chung, bếp riêng;Có;4;Có;Khu dân cư an ninh, gần Big C;https://phongtro123.com/tphcm/quan-10?page=1;;;;;;
29/22 Hòa Hảo, P.10, Quận 11;0,5;33;Phòng trống, WC riêng, có chỗ nấu ăn;Không;4;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=6;;;;;;
343/ Nguyễn Tiểu La, P.15, Quận 5;2,1;16;Có máy lạnh, WC riêng, bếp chung;Không;3;Không;Gần Circle K, trạm bus 59;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=1;;;;;;
66/43 Sư Vạn Hạnh, P.15, Quận 10;2,2;20;Phòng trống, WC riêng, có chỗ nấu ăn;Không;4;Không;Gần chợ Nhật Tảo, Satra Food;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=4;;;;;;
115/41 Lý Thường Kiệt, P.5, Quận 11;1,8;18;Có máy lạnh, WC chung, bếp riêng;Không;3;Có;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=3;;;;;;
197/18 Hòa Hảo, P.14, Quận 5;1,1;20;Không máy lạnh, WC riêng, không bếp;Không;4;Có;Gần chợ Nhật Tảo, Satra Food;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=7;;;;;;
115/ Ngô Gia Tự, P.9, Quận 10;1,1;22;Có máy lạnh, WC chung, bếp riêng;Có;2;Có;Gần trạm bus 07, Winmart;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=8;;;;;;
218/ Đào Duy Từ, P.5, Quận 5;0,5;16;Có máy lạnh, WC riêng, bếp chung;Có;2;Không;Khu dân cư an ninh, gần Big C;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=3;;;;;;
346/ Ngô Quyền, P.9, Quận 11;2,1;34;Có máy lạnh, WC riêng, bếp chung;Không;3;Gửi xe ngoài;Khu dân cư an ninh, gần Big C;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=1;;;;;;
48/42 Ba Tháng Hai, P.8, Quận 10;2,1;34;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=3;;;;;;
148/ Ngô Gia Tự, P.8, Quận 11;2,7;29;Máy lạnh, WC riêng, bếp riêng (Studio);Có;3;Có;Gần Circle K, trạm bus 59;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=6;;;;;;
305/20 Ngô Gia Tự, P.1, Quận 10;1,8;27;Máy lạnh, WC riêng, bếp riêng (Studio);Không;2;Có (phí 100k);Gần Circle K, trạm bus 59;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=7;;;;;;
15/ Vĩnh Viễn, P.15, Quận 11;1,1;15;Có máy lạnh, WC chung, bếp riêng;Không;4;Gửi xe ngoài;Gần Circle K, trạm bus 59;https://www.chotot.com/thue-phong-tro-quan-10?page=9;;;;;;
389/16 Ngô Quyền, P.5, Quận 11;2,1;30;Phòng trống, WC riêng, có chỗ nấu ăn;Không;2;Gửi xe ngoài;Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=1;;;;;;
457/ Trần Nhân Tôn, P.12, Quận 5;1,9;31;Full nội thất, WC riêng, kệ bếp;Không;4;Không;Gần Co.op Mart, trạm bus 150;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=10;;;;;;
298/ Nguyễn Tiểu La, P.12, Quận 10;2,5;31;Không máy lạnh, WC riêng, không bếp;Không;3;Gửi xe ngoài;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=8;;;;;;
41/16 Ba Tháng Hai, P.1, Quận 5;1,1;22;Có máy lạnh, WC riêng, bếp chung;Có;3;Có (phí 100k);Gần chợ Nhật Tảo, Satra Food;https://phongtro123.com/tphcm/quan-10?page=9;;;;;;
446/30 Hòa Hảo, P.8, Quận 11;0,8;22;Có máy lạnh, WC chung, bếp riêng;Không;3;Không;Gần Circle K, trạm bus 59;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=1;;;;;;
9/ Nguyễn Tiểu La, P.9, Quận 11;1,5;34;Có máy lạnh, WC riêng, bếp chung;Không;3;Có;Gần Co.op Mart, trạm bus 150;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=10;;;;;;
171/14 Bà Hạt, P.5, Quận 11;2,6;16;Có máy lạnh, WC riêng, bếp chung;Không;3;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=1;;;;;;
29/3 Bà Hạt, P.12, Quận 5;1,8;26;Có máy lạnh, WC riêng, bếp chung;Có;2;Có;Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=6;;;;;;
399/ Vĩnh Viễn, P.2, Quận 11;1;27;Không máy lạnh, WC riêng, không bếp;Không;3;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=9;;;;;;
84/ Lý Thái Tổ, P.4, Quận 10;1,3;21;Máy lạnh, WC riêng, bếp riêng (Studio);Có;3;Gửi xe ngoài;Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=7;;;;;;
252/ Nguyễn Tiểu La, P.5, Quận 5;1,4;20;Phòng trống, WC riêng, có chỗ nấu ăn;Không;3;Không;Gần trạm bus 07, Winmart;https://www.chotot.com/thue-phong-tro-quan-10?page=9;;;;;;
271/7 Vĩnh Viễn, P.9, Quận 11;0,8;34;Không máy lạnh, WC riêng, không bếp;Có;2;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=1;;;;;;
